Absolutely thrilled with the new phone!,0.3852272727272727
This is the worst movie I've ever seen.,-1.0
I love sunny days!,0.625
I'm so tired of this weather.,-0.4
Feeling great after a morning workout.,0.8
Absolutely thrilled with the new phone!,0.3852272727272727
I love sunny days!,0.625
Absolutely thrilled with the new phone!,0.3852272727272727
I love sunny days!,0.625
I'm so tired of this weather.,-0.4
I'm so tired of this weather.,-0.4
Feeling great after a morning workout.,0.8
I love sunny days!,0.625
This is the worst movie I've ever seen.,-1.0
Absolutely thrilled with the new phone!,0.3852272727272727
I love sunny days!,0.625
Absolutely thrilled with the new phone!,0.3852272727272727
I love sunny days!,0.625
This is the worst movie I've ever seen.,-1.0
I'm so tired of this weather.,-0.4
I love sunny days!,0.625
Feeling great after a morning workout.,0.8
I'm so tired of this weather.,-0.4
This is the worst movie I've ever seen.,-1.0
This is the worst movie I've ever seen.,-1.0
Feeling great after a morning workout.,0.8
This is the worst movie I've ever seen.,-1.0
I'm so tired of this weather.,-0.4
This is the worst movie I've ever seen.,-1.0
This is the worst movie I've ever seen.,-1.0
Absolutely thrilled with the new phone!,0.3852272727272727
This is the worst movie I've ever seen.,-1.0
I love sunny days!,0.625
I'm so tired of this weather.,-0.4
This is the worst movie I've ever seen.,-1.0
I'm so tired of this weather.,-0.4
I'm so tired of this weather.,-0.4
This is the worst movie I've ever seen.,-1.0
I love sunny days!,0.625
I love sunny days!,0.625
I love sunny days!,0.625
I'm so tired of this weather.,-0.4
Feeling great after a morning workout.,0.8
Absolutely thrilled with the new phone!,0.3852272727272727
I love sunny days!,0.625
This is the worst movie I've ever seen.,-1.0
I love sunny days!,0.625
I'm so tired of this weather.,-0.4
I love sunny days!,0.625
I love sunny days!,0.625
Absolutely thrilled with the new phone!,0.3852272727272727
I'm so tired of this weather.,-0.4
This is the worst movie I've ever seen.,-1.0
Absolutely thrilled with the new phone!,0.3852272727272727
I love sunny days!,0.625
Feeling great after a morning workout.,0.8
Absolutely thrilled with the new phone!,0.3852272727272727
This is the worst movie I've ever seen.,-1.0
Feeling great after a morning workout.,0.8
Feeling great after a morning workout.,0.8
Feeling great after a morning workout.,0.8
Feeling great after a morning workout.,0.8
Feeling great after a morning workout.,0.8
I'm so tired of this weather.,-0.4
Absolutely thrilled with the new phone!,0.3852272727272727
Absolutely thrilled with the new phone!,0.3852272727272727
Absolutely thrilled with the new phone!,0.3852272727272727
Absolutely thrilled with the new phone!,0.3852272727272727
I love sunny days!,0.625
I'm so tired of this weather.,-0.4
I'm so tired of this weather.,-0.4
I'm so tired of this weather.,-0.4
Feeling great after a morning workout.,0.8
Feeling great after a morning workout.,0.8
Feeling great after a morning workout.,0.8
Absolutely thrilled with the new phone!,0.3852272727272727
I'm so tired of this weather.,-0.4
Feeling great after a morning workout.,0.8
I love sunny days!,0.625
Feeling great after a morning workout.,0.8
I love sunny days!,0.625
I'm so tired of this weather.,-0.4
Absolutely thrilled with the new phone!,0.3852272727272727
Absolutely thrilled with the new phone!,0.3852272727272727
Feeling great after a morning workout.,0.8
Feeling great after a morning workout.,0.8
I love sunny days!,0.625
I'm so tired of this weather.,-0.4
This is the worst movie I've ever seen.,-1.0
I'm so tired of this weather.,-0.4
This is the worst movie I've ever seen.,-1.0
I love sunny days!,0.625
I love sunny days!,0.625
I love sunny days!,0.625
Feeling great after a morning workout.,0.8
I'm so tired of this weather.,-0.4
I'm so tired of this weather.,-0.4
Feeling great after a morning workout.,0.8
Feeling great after a morning workout.,0.8
Feeling great after a morning workout.,0.8
Feeling great after a morning workout.,0.8
This is the worst movie I've ever seen.,-1.0
Absolutely thrilled with the new phone!,0.3852272727272727
I love sunny days!,0.625
Feeling great after a morning workout.,0.8
This is the worst movie I've ever seen.,-1.0
I'm so tired of this weather.,-0.4
This is the worst movie I've ever seen.,-1.0
I'm so tired of this weather.,-0.4
This is the worst movie I've ever seen.,-1.0
This is the worst movie I've ever seen.,-1.0
Feeling great after a morning workout.,0.8
I love sunny days!,0.625
I'm so tired of this weather.,-0.4
This is the worst movie I've ever seen.,-1.0
I'm so tired of this weather.,-0.4
Feeling great after a morning workout.,0.8
I love sunny days!,0.625
I'm so tired of this weather.,-0.4
Absolutely thrilled with the new phone!,0.3852272727272727
I'm so tired of this weather.,-0.4
I'm so tired of this weather.,-0.4
Absolutely thrilled with the new phone!,0.3852272727272727
This is the worst movie I've ever seen.,-1.0
I'm so tired of this weather.,-0.4
Absolutely thrilled with the new phone!,0.3852272727272727
Feeling great after a morning workout.,0.8
Absolutely thrilled with the new phone!,0.3852272727272727
Feeling great after a morning workout.,0.8
This is the worst movie I've ever seen.,-1.0
Absolutely thrilled with the new phone!,0.3852272727272727
Feeling great after a morning workout.,0.8
I'm so tired of this weather.,-0.4
I love sunny days!,0.625
I'm so tired of this weather.,-0.4
This is the worst movie I've ever seen.,-1.0
I love sunny days!,0.625
This is the worst movie I've ever seen.,-1.0
I love sunny days!,0.625
This is the worst movie I've ever seen.,-1.0
This is the worst movie I've ever seen.,-1.0
I love sunny days!,0.625
I love sunny days!,0.625
Absolutely thrilled with the new phone!,0.3852272727272727
I'm so tired of this weather.,-0.4
This is the worst movie I've ever seen.,-1.0
I love sunny days!,0.625
I love sunny days!,0.625
Absolutely thrilled with the new phone!,0.3852272727272727
I love sunny days!,0.625
Absolutely thrilled with the new phone!,0.3852272727272727
Absolutely thrilled with the new phone!,0.3852272727272727
Feeling great after a morning workout.,0.8
Absolutely thrilled with the new phone!,0.3852272727272727
This is the worst movie I've ever seen.,-1.0
I love sunny days!,0.625
This is the worst movie I've ever seen.,-1.0
Feeling great after a morning workout.,0.8
I'm so tired of this weather.,-0.4
Feeling great after a morning workout.,0.8
This is the worst movie I've ever seen.,-1.0
I'm so tired of this weather.,-0.4
I love sunny days!,0.625
I'm so tired of this weather.,-0.4
Absolutely thrilled with the new phone!,0.3852272727272727
Absolutely thrilled with the new phone!,0.3852272727272727
This is the worst movie I've ever seen.,-1.0
I'm so tired of this weather.,-0.4
I'm so tired of this weather.,-0.4
Absolutely thrilled with the new phone!,0.3852272727272727
I love sunny days!,0.625
Feeling great after a morning workout.,0.8
Feeling great after a morning workout.,0.8
This is the worst movie I've ever seen.,-1.0
This is the worst movie I've ever seen.,-1.0
I love sunny days!,0.625
I'm so tired of this weather.,-0.4
I'm so tired of this weather.,-0.4
This is the worst movie I've ever seen.,-1.0
Absolutely thrilled with the new phone!,0.3852272727272727
Absolutely thrilled with the new phone!,0.3852272727272727
Absolutely thrilled with the new phone!,0.3852272727272727
This is the worst movie I've ever seen.,-1.0
This is the worst movie I've ever seen.,-1.0
Absolutely thrilled with the new phone!,0.3852272727272727
I'm so tired of this weather.,-0.4
I'm so tired of this weather.,-0.4
I'm so tired of this weather.,-0.4
Absolutely thrilled with the new phone!,0.3852272727272727
Absolutely thrilled with the new phone!,0.3852272727272727
Feeling great after a morning workout.,0.8
This is the worst movie I've ever seen.,-1.0
I love sunny days!,0.625
Absolutely thrilled with the new phone!,0.3852272727272727
I love sunny days!,0.625
This is the worst movie I've ever seen.,-1.0
Absolutely thrilled with the new phone!,0.3852272727272727
I love sunny days!,0.625
Absolutely thrilled with the new phone!,0.3852272727272727
This is the worst movie I've ever seen.,-1.0
Absolutely thrilled with the new phone!,0.3852272727272727
I'm so tired of this weather.,-0.4
I'm so tired of this weather.,-0.4
Absolutely thrilled with the new phone!,0.3852272727272727
I'm so tired of this weather.,-0.4
I'm so tired of this weather.,-0.4
This is the worst movie I've ever seen.,-1.0
Feeling great after a morning workout.,0.8
Feeling great after a morning workout.,0.8
I love sunny days!,0.625
Absolutely thrilled with the new phone!,0.3852272727272727
I'm so tired of this weather.,-0.4
Feeling great after a morning workout.,0.8
I'm so tired of this weather.,-0.4
Feeling great after a morning workout.,0.8
This is the worst movie I've ever seen.,-1.0
I'm so tired of this weather.,-0.4
This is the worst movie I've ever seen.,-1.0
This is the worst movie I've ever seen.,-1.0
This is the worst movie I've ever seen.,-1.0
This is the worst movie I've ever seen.,-1.0
This is the worst movie I've ever seen.,-1.0
I'm so tired of this weather.,-0.4
I'm so tired of this weather.,-0.4
Feeling great after a morning workout.,0.8
This is the worst movie I've ever seen.,-1.0
Feeling great after a morning workout.,0.8
Feeling great after a morning workout.,0.8
Feeling great after a morning workout.,0.8
This is the worst movie I've ever seen.,-1.0
Feeling great after a morning workout.,0.8
I'm so tired of this weather.,-0.4
Feeling great after a morning workout.,0.8
I love sunny days!,0.625
Feeling great after a morning workout.,0.8
This is the worst movie I've ever seen.,-1.0
This is the worst movie I've ever seen.,-1.0
I'm so tired of this weather.,-0.4
I love sunny days!,0.625
I love sunny days!,0.625
Absolutely thrilled with the new phone!,0.3852272727272727
I love sunny days!,0.625
Absolutely thrilled with the new phone!,0.3852272727272727
This is the worst movie I've ever seen.,-1.0
Feeling great after a morning workout.,0.8
Feeling great after a morning workout.,0.8
This is the worst movie I've ever seen.,-1.0
Feeling great after a morning workout.,0.8
This is the worst movie I've ever seen.,-1.0
Feeling great after a morning workout.,0.8
Feeling great after a morning workout.,0.8
I love sunny days!,0.625
This is the worst movie I've ever seen.,-1.0
I'm so tired of this weather.,-0.4
I'm so tired of this weather.,-0.4
Absolutely thrilled with the new phone!,0.3852272727272727
I'm so tired of this weather.,-0.4
I'm so tired of this weather.,-0.4
Feeling great after a morning workout.,0.8
This is the worst movie I've ever seen.,-1.0
This is the worst movie I've ever seen.,-1.0
Feeling great after a morning workout.,0.8
I'm so tired of this weather.,-0.4
I'm so tired of this weather.,-0.4
This is the worst movie I've ever seen.,-1.0
I love sunny days!,0.625
I love sunny days!,0.625
I love sunny days!,0.625
This is the worst movie I've ever seen.,-1.0
I love sunny days!,0.625
I'm so tired of this weather.,-0.4
I love sunny days!,0.625
Absolutely thrilled with the new phone!,0.3852272727272727
Absolutely thrilled with the new phone!,0.3852272727272727
This is the worst movie I've ever seen.,-1.0
Absolutely thrilled with the new phone!,0.3852272727272727
I love sunny days!,0.625
This is the worst movie I've ever seen.,-1.0
Absolutely thrilled with the new phone!,0.3852272727272727
Absolutely thrilled with the new phone!,0.3852272727272727
Feeling great after a morning workout.,0.8
I'm so tired of this weather.,-0.4
This is the worst movie I've ever seen.,-1.0
I love sunny days!,0.625
Absolutely thrilled with the new phone!,0.3852272727272727
Feeling great after a morning workout.,0.8
This is the worst movie I've ever seen.,-1.0
Feeling great after a morning workout.,0.8
Absolutely thrilled with the new phone!,0.3852272727272727
I love sunny days!,0.625
Absolutely thrilled with the new phone!,0.3852272727272727
This is the worst movie I've ever seen.,-1.0
I love sunny days!,0.625
I love sunny days!,0.625
I love sunny days!,0.625
I'm so tired of this weather.,-0.4
I love sunny days!,0.625
Feeling great after a morning workout.,0.8
Feeling great after a morning workout.,0.8
I love sunny days!,0.625
This is the worst movie I've ever seen.,-1.0
Feeling great after a morning workout.,0.8
Absolutely thrilled with the new phone!,0.3852272727272727
Absolutely thrilled with the new phone!,0.3852272727272727
I'm so tired of this weather.,-0.4
I'm so tired of this weather.,-0.4
This is the worst movie I've ever seen.,-1.0
I'm so tired of this weather.,-0.4
This is the worst movie I've ever seen.,-1.0
Feeling great after a morning workout.,0.8
I'm so tired of this weather.,-0.4
This is the worst movie I've ever seen.,-1.0
This is the worst movie I've ever seen.,-1.0
I'm so tired of this weather.,-0.4
I'm so tired of this weather.,-0.4
I love sunny days!,0.625
I love sunny days!,0.625
Absolutely thrilled with the new phone!,0.3852272727272727
This is the worst movie I've ever seen.,-1.0
I'm so tired of this weather.,-0.4
Absolutely thrilled with the new phone!,0.3852272727272727
Absolutely thrilled with the new phone!,0.3852272727272727
Absolutely thrilled with the new phone!,0.3852272727272727
This is the worst movie I've ever seen.,-1.0
I love sunny days!,0.625
This is the worst movie I've ever seen.,-1.0
Absolutely thrilled with the new phone!,0.3852272727272727
This is the worst movie I've ever seen.,-1.0
Feeling great after a morning workout.,0.8
Absolutely thrilled with the new phone!,0.3852272727272727
Feeling great after a morning workout.,0.8
Absolutely thrilled with the new phone!,0.3852272727272727
I'm so tired of this weather.,-0.4
I'm so tired of this weather.,-0.4
I'm so tired of this weather.,-0.4
This is the worst movie I've ever seen.,-1.0
This is the worst movie I've ever seen.,-1.0
I'm so tired of this weather.,-0.4
Feeling great after a morning workout.,0.8
Absolutely thrilled with the new phone!,0.3852272727272727
Feeling great after a morning workout.,0.8
This is the worst movie I've ever seen.,-1.0
I love sunny days!,0.625
Feeling great after a morning workout.,0.8
I'm so tired of this weather.,-0.4
Absolutely thrilled with the new phone!,0.3852272727272727
I love sunny days!,0.625
I'm so tired of this weather.,-0.4
Absolutely thrilled with the new phone!,0.3852272727272727
Feeling great after a morning workout.,0.8
I love sunny days!,0.625
This is the worst movie I've ever seen.,-1.0
Absolutely thrilled with the new phone!,0.3852272727272727
I'm so tired of this weather.,-0.4
I love sunny days!,0.625
Feeling great after a morning workout.,0.8
I love sunny days!,0.625
This is the worst movie I've ever seen.,-1.0
I'm so tired of this weather.,-0.4
I love sunny days!,0.625
Feeling great after a morning workout.,0.8
Absolutely thrilled with the new phone!,0.3852272727272727
This is the worst movie I've ever seen.,-1.0
Feeling great after a morning workout.,0.8
Feeling great after a morning workout.,0.8
Feeling great after a morning workout.,0.8
I love sunny days!,0.625
I love sunny days!,0.625
Feeling great after a morning workout.,0.8
I love sunny days!,0.625
Absolutely thrilled with the new phone!,0.3852272727272727
Feeling great after a morning workout.,0.8
I love sunny days!,0.625
I love sunny days!,0.625
I'm so tired of this weather.,-0.4
I love sunny days!,0.625
I'm so tired of this weather.,-0.4
I'm so tired of this weather.,-0.4
I love sunny days!,0.625
I love sunny days!,0.625
I love sunny days!,0.625
I love sunny days!,0.625
I'm so tired of this weather.,-0.4
Absolutely thrilled with the new phone!,0.3852272727272727
Feeling great after a morning workout.,0.8
I love sunny days!,0.625
Feeling great after a morning workout.,0.8
This is the worst movie I've ever seen.,-1.0
Feeling great after a morning workout.,0.8
Absolutely thrilled with the new phone!,0.3852272727272727
Feeling great after a morning workout.,0.8
This is the worst movie I've ever seen.,-1.0
Feeling great after a morning workout.,0.8
Feeling great after a morning workout.,0.8
Feeling great after a morning workout.,0.8
Absolutely thrilled with the new phone!,0.3852272727272727
This is the worst movie I've ever seen.,-1.0
I love sunny days!,0.625
I'm so tired of this weather.,-0.4
I'm so tired of this weather.,-0.4
This is the worst movie I've ever seen.,-1.0
This is the worst movie I've ever seen.,-1.0
Absolutely thrilled with the new phone!,0.3852272727272727
I'm so tired of this weather.,-0.4
Feeling great after a morning workout.,0.8
Absolutely thrilled with the new phone!,0.3852272727272727
Absolutely thrilled with the new phone!,0.3852272727272727
Feeling great after a morning workout.,0.8
This is the worst movie I've ever seen.,-1.0
Absolutely thrilled with the new phone!,0.3852272727272727
Feeling great after a morning workout.,0.8
Feeling great after a morning workout.,0.8
Absolutely thrilled with the new phone!,0.3852272727272727
I love sunny days!,0.625
This is the worst movie I've ever seen.,-1.0
This is the worst movie I've ever seen.,-1.0
I'm so tired of this weather.,-0.4
I love sunny days!,0.625
Absolutely thrilled with the new phone!,0.3852272727272727
Feeling great after a morning workout.,0.8
I love sunny days!,0.625
I'm so tired of this weather.,-0.4
This is the worst movie I've ever seen.,-1.0
This is the worst movie I've ever seen.,-1.0
Feeling great after a morning workout.,0.8
Absolutely thrilled with the new phone!,0.3852272727272727
Absolutely thrilled with the new phone!,0.3852272727272727
I'm so tired of this weather.,-0.4
This is the worst movie I've ever seen.,-1.0
I love sunny days!,0.625
This is the worst movie I've ever seen.,-1.0
Feeling great after a morning workout.,0.8
I love sunny days!,0.625
Feeling great after a morning workout.,0.8
Absolutely thrilled with the new phone!,0.3852272727272727
I love sunny days!,0.625
I love sunny days!,0.625
I love sunny days!,0.625
I love sunny days!,0.625
I'm so tired of this weather.,-0.4
This is the worst movie I've ever seen.,-1.0
I love sunny days!,0.625
Feeling great after a morning workout.,0.8
I love sunny days!,0.625
I love sunny days!,0.625
I'm so tired of this weather.,-0.4
Absolutely thrilled with the new phone!,0.3852272727272727
I love sunny days!,0.625
Feeling great after a morning workout.,0.8
This is the worst movie I've ever seen.,-1.0
Feeling great after a morning workout.,0.8
I'm so tired of this weather.,-0.4
I'm so tired of this weather.,-0.4
Absolutely thrilled with the new phone!,0.3852272727272727
Feeling great after a morning workout.,0.8
Feeling great after a morning workout.,0.8
I'm so tired of this weather.,-0.4
Absolutely thrilled with the new phone!,0.3852272727272727
Feeling great after a morning workout.,0.8
This is the worst movie I've ever seen.,-1.0
This is the worst movie I've ever seen.,-1.0
This is the worst movie I've ever seen.,-1.0
I love sunny days!,0.625
This is the worst movie I've ever seen.,-1.0
Absolutely thrilled with the new phone!,0.3852272727272727
I love sunny days!,0.625
This is the worst movie I've ever seen.,-1.0
I love sunny days!,0.625
This is the worst movie I've ever seen.,-1.0
I love sunny days!,0.625
This is the worst movie I've ever seen.,-1.0
This is the worst movie I've ever seen.,-1.0
I love sunny days!,0.625
I love sunny days!,0.625
Feeling great after a morning workout.,0.8
I love sunny days!,0.625
Absolutely thrilled with the new phone!,0.3852272727272727
I'm so tired of this weather.,-0.4
I love sunny days!,0.625
I'm so tired of this weather.,-0.4
This is the worst movie I've ever seen.,-1.0
I love sunny days!,0.625
This is the worst movie I've ever seen.,-1.0
I love sunny days!,0.625
Absolutely thrilled with the new phone!,0.3852272727272727
Feeling great after a morning workout.,0.8
This is the worst movie I've ever seen.,-1.0
Feeling great after a morning workout.,0.8
I love sunny days!,0.625
I'm so tired of this weather.,-0.4
This is the worst movie I've ever seen.,-1.0
I'm so tired of this weather.,-0.4
I'm so tired of this weather.,-0.4
Feeling great after a morning workout.,0.8
Feeling great after a morning workout.,0.8
Absolutely thrilled with the new phone!,0.3852272727272727
I love sunny days!,0.625
This is the worst movie I've ever seen.,-1.0
I love sunny days!,0.625
I love sunny days!,0.625
Absolutely thrilled with the new phone!,0.3852272727272727
I love sunny days!,0.625
This is the worst movie I've ever seen.,-1.0
This is the worst movie I've ever seen.,-1.0
Absolutely thrilled with the new phone!,0.3852272727272727
I'm so tired of this weather.,-0.4
This is the worst movie I've ever seen.,-1.0
I'm so tired of this weather.,-0.4
Absolutely thrilled with the new phone!,0.3852272727272727
Feeling great after a morning workout.,0.8
This is the worst movie I've ever seen.,-1.0
Feeling great after a morning workout.,0.8
I love sunny days!,0.625
Feeling great after a morning workout.,0.8
Feeling great after a morning workout.,0.8
Feeling great after a morning workout.,0.8
This is the worst movie I've ever seen.,-1.0
I'm so tired of this weather.,-0.4
I'm so tired of this weather.,-0.4
I'm so tired of this weather.,-0.4
Feeling great after a morning workout.,0.8
Absolutely thrilled with the new phone!,0.3852272727272727
This is the worst movie I've ever seen.,-1.0
I'm so tired of this weather.,-0.4
Feeling great after a morning workout.,0.8
I love sunny days!,0.625
This is the worst movie I've ever seen.,-1.0
I'm so tired of this weather.,-0.4
Absolutely thrilled with the new phone!,0.3852272727272727
Feeling great after a morning workout.,0.8
Feeling great after a morning workout.,0.8
I love sunny days!,0.625
Feeling great after a morning workout.,0.8
This is the worst movie I've ever seen.,-1.0
I'm so tired of this weather.,-0.4
Absolutely thrilled with the new phone!,0.3852272727272727
I'm so tired of this weather.,-0.4
This is the worst movie I've ever seen.,-1.0
Feeling great after a morning workout.,0.8
I love sunny days!,0.625
Absolutely thrilled with the new phone!,0.3852272727272727
This is the worst movie I've ever seen.,-1.0
Absolutely thrilled with the new phone!,0.3852272727272727
Absolutely thrilled with the new phone!,0.3852272727272727
Feeling great after a morning workout.,0.8
Feeling great after a morning workout.,0.8
This is the worst movie I've ever seen.,-1.0
Absolutely thrilled with the new phone!,0.3852272727272727
Absolutely thrilled with the new phone!,0.3852272727272727
Absolutely thrilled with the new phone!,0.3852272727272727
Feeling great after a morning workout.,0.8
Absolutely thrilled with the new phone!,0.3852272727272727
This is the worst movie I've ever seen.,-1.0
Feeling great after a morning workout.,0.8
I'm so tired of this weather.,-0.4
Absolutely thrilled with the new phone!,0.3852272727272727
Feeling great after a morning workout.,0.8
This is the worst movie I've ever seen.,-1.0
I love sunny days!,0.625
Absolutely thrilled with the new phone!,0.3852272727272727
I'm so tired of this weather.,-0.4
Absolutely thrilled with the new phone!,0.3852272727272727
I'm so tired of this weather.,-0.4
Feeling great after a morning workout.,0.8
Absolutely thrilled with the new phone!,0.3852272727272727
This is the worst movie I've ever seen.,-1.0
I love sunny days!,0.625
Feeling great after a morning workout.,0.8
I love sunny days!,0.625
Absolutely thrilled with the new phone!,0.3852272727272727
Feeling great after a morning workout.,0.8
Feeling great after a morning workout.,0.8
Feeling great after a morning workout.,0.8
This is the worst movie I've ever seen.,-1.0
Absolutely thrilled with the new phone!,0.3852272727272727
Absolutely thrilled with the new phone!,0.3852272727272727
Absolutely thrilled with the new phone!,0.3852272727272727
This is the worst movie I've ever seen.,-1.0
Absolutely thrilled with the new phone!,0.3852272727272727
I'm so tired of this weather.,-0.4
Feeling great after a morning workout.,0.8
Feeling great after a morning workout.,0.8
I love sunny days!,0.625
This is the worst movie I've ever seen.,-1.0
This is the worst movie I've ever seen.,-1.0
I love sunny days!,0.625
This is the worst movie I've ever seen.,-1.0
I'm so tired of this weather.,-0.4
This is the worst movie I've ever seen.,-1.0
This is the worst movie I've ever seen.,-1.0
This is the worst movie I've ever seen.,-1.0
This is the worst movie I've ever seen.,-1.0
Feeling great after a morning workout.,0.8
I love sunny days!,0.625
I'm so tired of this weather.,-0.4
I love sunny days!,0.625
I'm so tired of this weather.,-0.4
Absolutely thrilled with the new phone!,0.3852272727272727
I'm so tired of this weather.,-0.4
Feeling great after a morning workout.,0.8
This is the worst movie I've ever seen.,-1.0
Feeling great after a morning workout.,0.8
This is the worst movie I've ever seen.,-1.0
This is the worst movie I've ever seen.,-1.0
I love sunny days!,0.625
This is the worst movie I've ever seen.,-1.0
I love sunny days!,0.625
Feeling great after a morning workout.,0.8
Feeling great after a morning workout.,0.8
I love sunny days!,0.625
This is the worst movie I've ever seen.,-1.0
I love sunny days!,0.625
This is the worst movie I've ever seen.,-1.0
Absolutely thrilled with the new phone!,0.3852272727272727
Absolutely thrilled with the new phone!,0.3852272727272727
Feeling great after a morning workout.,0.8
I'm so tired of this weather.,-0.4
Feeling great after a morning workout.,0.8
Feeling great after a morning workout.,0.8
I love sunny days!,0.625
Feeling great after a morning workout.,0.8
I love sunny days!,0.625
This is the worst movie I've ever seen.,-1.0
This is the worst movie I've ever seen.,-1.0
Feeling great after a morning workout.,0.8
I'm so tired of this weather.,-0.4
I love sunny days!,0.625
I'm so tired of this weather.,-0.4
I love sunny days!,0.625
Absolutely thrilled with the new phone!,0.3852272727272727
I love sunny days!,0.625
This is the worst movie I've ever seen.,-1.0
Absolutely thrilled with the new phone!,0.3852272727272727
This is the worst movie I've ever seen.,-1.0
I love sunny days!,0.625
This is the worst movie I've ever seen.,-1.0
Absolutely thrilled with the new phone!,0.3852272727272727
Feeling great after a morning workout.,0.8
I'm so tired of this weather.,-0.4
I'm so tired of this weather.,-0.4
This is the worst movie I've ever seen.,-1.0
Feeling great after a morning workout.,0.8
Absolutely thrilled with the new phone!,0.3852272727272727
Feeling great after a morning workout.,0.8
I'm so tired of this weather.,-0.4
Feeling great after a morning workout.,0.8
Feeling great after a morning workout.,0.8
Feeling great after a morning workout.,0.8
I love sunny days!,0.625
Absolutely thrilled with the new phone!,0.3852272727272727
Feeling great after a morning workout.,0.8
I'm so tired of this weather.,-0.4
I'm so tired of this weather.,-0.4
Absolutely thrilled with the new phone!,0.3852272727272727
This is the worst movie I've ever seen.,-1.0
Absolutely thrilled with the new phone!,0.3852272727272727
Absolutely thrilled with the new phone!,0.3852272727272727
Absolutely thrilled with the new phone!,0.3852272727272727
Feeling great after a morning workout.,0.8
This is the worst movie I've ever seen.,-1.0
Absolutely thrilled with the new phone!,0.3852272727272727
Feeling great after a morning workout.,0.8
Feeling great after a morning workout.,0.8
Feeling great after a morning workout.,0.8
I love sunny days!,0.625
I'm so tired of this weather.,-0.4
I love sunny days!,0.625
Feeling great after a morning workout.,0.8
I'm so tired of this weather.,-0.4
I'm so tired of this weather.,-0.4
Absolutely thrilled with the new phone!,0.3852272727272727
Feeling great after a morning workout.,0.8
This is the worst movie I've ever seen.,-1.0
Absolutely thrilled with the new phone!,0.3852272727272727
Feeling great after a morning workout.,0.8
I'm so tired of this weather.,-0.4
This is the worst movie I've ever seen.,-1.0
Feeling great after a morning workout.,0.8
Absolutely thrilled with the new phone!,0.3852272727272727
Absolutely thrilled with the new phone!,0.3852272727272727
Feeling great after a morning workout.,0.8
I'm so tired of this weather.,-0.4
This is the worst movie I've ever seen.,-1.0
Feeling great after a morning workout.,0.8
Absolutely thrilled with the new phone!,0.3852272727272727
Feeling great after a morning workout.,0.8
This is the worst movie I've ever seen.,-1.0
Feeling great after a morning workout.,0.8
Feeling great after a morning workout.,0.8
Feeling great after a morning workout.,0.8
Feeling great after a morning workout.,0.8
I'm so tired of this weather.,-0.4
This is the worst movie I've ever seen.,-1.0
I love sunny days!,0.625
I'm so tired of this weather.,-0.4
I love sunny days!,0.625
Feeling great after a morning workout.,0.8
I'm so tired of this weather.,-0.4
This is the worst movie I've ever seen.,-1.0
I'm so tired of this weather.,-0.4
Absolutely thrilled with the new phone!,0.3852272727272727
I love sunny days!,0.625
Absolutely thrilled with the new phone!,0.3852272727272727
I'm so tired of this weather.,-0.4
Feeling great after a morning workout.,0.8
This is the worst movie I've ever seen.,-1.0
Feeling great after a morning workout.,0.8
Feeling great after a morning workout.,0.8
I'm so tired of this weather.,-0.4
This is the worst movie I've ever seen.,-1.0
This is the worst movie I've ever seen.,-1.0
This is the worst movie I've ever seen.,-1.0
I'm so tired of this weather.,-0.4
I'm so tired of this weather.,-0.4
Absolutely thrilled with the new phone!,0.3852272727272727
Feeling great after a morning workout.,0.8
This is the worst movie I've ever seen.,-1.0
I love sunny days!,0.625
I'm so tired of this weather.,-0.4
This is the worst movie I've ever seen.,-1.0
I love sunny days!,0.625
I love sunny days!,0.625
This is the worst movie I've ever seen.,-1.0
I love sunny days!,0.625
This is the worst movie I've ever seen.,-1.0
Feeling great after a morning workout.,0.8
Absolutely thrilled with the new phone!,0.3852272727272727
I love sunny days!,0.625
This is the worst movie I've ever seen.,-1.0
